identityKey,院校名称,院校专业组代码,专业代码,专业名称,专业类,规范专业类,风险等级,标色建议,组内核心簇,风险说明_严格版
212002+17,上海工程技术大学,212002,17,铁道工程,土木类,土木类,红色高危,红色,电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；与组内主体距离较远且热度落差明显。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
211106+16,上海师范大学,211106,16,土木工程,土木类,土木类,红色高危,红色,电子信息集成电路；数学统计天文；物理力学大气海洋；土木建筑,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
212504+22,上海政法学院,212504,22,应用心理学,心理学类,心理学类,红色高危,红色,经财金融；商科管理,与组内主体距离较远且热度落差明显。
800101+09,上海杉达学院,800101,09,风景园林,建筑类,建筑类,红色高危,红色,文史哲法社；经财金融；商科管理,与组内主体距离较远且热度落差明显。
800103+13,上海杉达学院,800103,13,英语,外国语言文学类,外国语言文学类,红色高危,红色,管科工业工程；土木建筑,与组内主体距离较远且热度落差明显。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
800104+16,上海杉达学院,800104,16,食品质量与安全,食品科学与工程类,食品科学与工程类,红色高危,红色,计算机软件；土木建筑；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。
800104+22,上海杉达学院,800104,22,建筑电气与智能化,土木类,土木类,红色高危,红色,计算机软件；土木建筑；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
800104+24,上海杉达学院,800104,24,土木工程,土木类,土木类,红色高危,红色,计算机软件；土木建筑；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
212901+03,上海科技大学,212901,03,材料科学与工程,材料类,材料类,红色高危,红色,生物生工；数学统计天文,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关博士点，专业水平：省一/双一流；但硬实力不抵消方向/热度落差。
213701+12,上海立信会计金融学院,213701,12,商务英语,外国语言文学类,外国语言文学类,红色高危,红色,商科管理；经财金融,与组内主体距离较远且热度落差明显。
213702+33,上海立信会计金融学院,213702,33,商务英语,外国语言文学类,外国语言文学类,红色高危,红色,经财金融；商科管理,与组内主体距离较远且热度落差明显。
802303+08,上海立达学院,802303,08,宠物医疗,畜牧业类,畜牧业类,红色高危,红色,经财金融；商科管理；文史哲法社,与组内主体距离较远且热度落差明显。
211001+11,上海财经大学,211001,11,商务英语,外国语言文学类,外国语言文学类,红色高危,红色,商科管理；经财金融,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C+，有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
805401+10,上海财经大学浙江学院,805401,10,英语,外国语言文学类,外国语言文学类,红色高危,红色,商科管理；经财金融,与组内主体距离较远且热度落差明显。
805401+11,上海财经大学浙江学院,805401,11,商务英语,外国语言文学类,外国语言文学类,红色高危,红色,商科管理；经财金融,与组内主体距离较远且热度落差明显。
257104+18,上饶师范学院,257104,18,园艺,植物生产类,植物生产类,红色高危,红色,电子信息集成电路；材料；农林牧渔；数学统计天文,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
257104+19,上饶师范学院,257104,19,智慧农业,植物生产类,植物生产类,红色高危,红色,电子信息集成电路；材料；农林牧渔；数学统计天文,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
430402+04,东北农业大学,430402,04,动物医学,动物医学类,动物医学类,红色高危,红色,食品；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B+，有本专业相关博士点，专业水平：国一/国特/国重/省重；但硬实力不抵消方向/热度落差。
430402+06,东北农业大学,430402,06,食品科学与工程类,食品科学与工程类,食品科学与工程类,红色高危,红色,食品；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B+；五轮：A-，有本专业相关博士点，专业水平：国一/国特/省重；但硬实力不抵消方向/热度落差。
430402+07,东北农业大学,430402,07,水利类,水利类,水利类,红色高危,红色,食品；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关博士点，专业水平：省一/国特；但硬实力不抵消方向/热度落差。
410105+13,东北大学,410105,13,智能采矿工程,矿业类,矿业类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B+，有本专业相关博士点；但硬实力不抵消方向/热度落差。
410105+30,东北大学,410105,30,具身智能,交叉学科类,交叉学科类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A；五轮：A+，有本专业相关博士点；但硬实力不抵消方向/热度落差。
332201+03,东北大学秦皇岛分校,332201,03,外国语言文学类,外国语言文学类,外国语言文学类,红色高危,红色,商科管理,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
430304+15,东北林业大学,430304,15,生物科学类,生物科学类,生物科学类,红色高危,红色,机械智能制造；电子信息集成电路；生物生工；计算机软件；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/国特/省重；但硬实力不抵消方向/热度落差。
430304+16,东北林业大学,430304,16,合成生物学,生物工程类,生物工程类,红色高危,红色,机械智能制造；电子信息集成电路；生物生工；计算机软件；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
430304+17,东北林业大学,430304,17,交通运输类,交通运输类,交通运输类,红色高危,红色,机械智能制造；电子信息集成电路；生物生工；计算机软件；自动化仪器控制；电气电力,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C+，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
430305+22,东北林业大学,430305,22,生物技术,生物科学类,生物科学类,红色高危,红色,计算机软件；生物生工；化学,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
432102+06,东北石油大学,432102,06,环境工程,环境科学与工程类,环境科学与工程类,红色高危,红色,地矿地球物理；自动化仪器控制；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离=3且热度落差较明显。；硬实力提示：有本专业相关博士点；但硬实力不抵消方向/热度落差。
432102+08,东北石油大学,432102,08,石油工程,矿业类,矿业类,红色高危,红色,地矿地球物理；自动化仪器控制；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/国特/国重；但硬实力不抵消方向/热度落差。
432102+09,东北石油大学,432102,09,油气储运工程,矿业类,矿业类,红色高危,红色,地矿地球物理；自动化仪器控制；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/国特/国重；但硬实力不抵消方向/热度落差。
432102+10,东北石油大学,432102,10,资源勘查工程,地质类,地质类,红色高危,红色,地矿地球物理；自动化仪器控制；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一/国特；但硬实力不抵消方向/热度落差。
432102+14,东北石油大学,432102,14,土木工程,土木类,土木类,红色高危,红色,地矿地球物理；自动化仪器控制；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；与组内主体距离=3且热度落差较明显。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
210502+10,东华大学,210502,10,土木工程,土木类,土木类,红色高危,红色,化工轻纺,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C+，有本专业相关博士点；但硬实力不抵消方向/热度落差。
210503+16,东华大学,210503,16,生物工程,生物工程类,生物工程类,红色高危,红色,材料,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
210504+34,东华大学,210504,34,环境科学与工程类,环境科学与工程类,环境科学与工程类,红色高危,红色,电子信息集成电路；机械智能制造；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/国特/卓越工程；但硬实力不抵消方向/热度落差。
210504+35,东华大学,210504,35,环境科学与工程类,环境科学与工程类,环境科学与工程类,红色高危,红色,电子信息集成电路；机械智能制造；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/国特/卓越工程；但硬实力不抵消方向/热度落差。
254101+15,东华理工大学,254101,15,应用化学,化学类,化学类,红色高危,红色,地矿地球物理,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
254101+16,东华理工大学,254101,16,化学工程与工艺,化工与制药类,化工与制药类,红色高危,红色,地矿地球物理,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
254101+17,东华理工大学,254101,17,材料科学与工程,材料类,材料类,红色高危,红色,地矿地球物理,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
254101+18,东华理工大学,254101,18,复合材料与工程,材料类,材料类,红色高危,红色,地矿地球物理,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
254101+19,东华理工大学,254101,19,核工程与核技术,核工程类,核工程类,红色高危,红色,地矿地球物理,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
254101+20,东华理工大学,254101,20,辐射防护与核安全,核工程类,核工程类,红色高危,红色,地矿地球物理,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C，有本专业相关博士点；但硬实力不抵消方向/热度落差。
110207+10,东南大学,110207,10,建筑类,建筑类,建筑类,红色高危,红色,医学医工,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点，专业水平：国一/国特/双一流/国重/省重；但硬实力不抵消方向/热度落差。
110211+26,东南大学,110211,26,建筑类,建筑类,建筑类,红色高危,红色,电子信息集成电路；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点，专业水平：国一/国特/双一流/国重/省重；但硬实力不抵消方向/热度落差。
110211+34,东南大学,110211,34,低空技术与工程,交叉学科类,交叉学科类,红色高危,红色,电子信息集成电路；计算机软件,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点；但硬实力不抵消方向/热度落差。
110211+36,东南大学,110211,36,生物科学,生物科学类,生物科学类,红色高危,红色,电子信息集成电路；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关博士点；但硬实力不抵消方向/热度落差。
865202+05,东莞城市学院,865202,05,环境工程,环境科学与工程类,环境科学与工程类,红色高危,红色,计算机软件；环境安全生态,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
530205+19,中南大学,530205,19,生物科学,生物科学类,生物科学类,红色高危,红色,材料；计算机软件；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B+，有本专业相关博士点，专业水平：国一/生物科学拔尖学生培养基地；但硬实力不抵消方向/热度落差。
530206+23,中南大学,530206,23,交通运输类,交通运输类,交通运输类,红色高危,红色,电子信息集成电路；计算机软件,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B+；五轮：A-，有本专业相关博士点，专业水平：国一/国特/双一流/国重；但硬实力不抵消方向/热度落差。
530206+26,中南大学,530206,26,生物工程,生物工程类,生物工程类,红色高危,红色,电子信息集成电路；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
533105+18,中南林业科技大学,533105,18,生物技术,生物科学类,生物科学类,红色高危,红色,农林牧渔,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C+，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
533105+19,中南林业科技大学,533105,19,生态学,生物科学类,生物科学类,红色高危,红色,农林牧渔,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C+，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
533105+21,中南林业科技大学,533105,21,材料科学与工程,材料类,材料类,红色高危,红色,农林牧渔,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
533105+22,中南林业科技大学,533105,22,新能源科学与工程,能源动力类,能源动力类,红色高危,红色,农林牧渔,与组内主体距离较远且热度落差明显。
533105+25,中南林业科技大学,533105,25,化学工程与工艺,化工与制药类,化工与制药类,红色高危,红色,农林牧渔,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
533106+36,中南林业科技大学,533106,36,林学,林学类,林学类,红色高危,红色,电子信息集成电路；农林牧渔,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
520806+24,中南民族大学,520806,24,未来机器人,交叉学科类,交叉学科类,红色高危,红色,电子信息集成电路；计算机软件,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
520807+29,中南民族大学,520807,29,生物科学类,生物科学类,生物科学类,红色高危,红色,生物生工；医学医工；其他/未归类；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：C-，有本专业相关博士点，专业水平：国一/国特；但硬实力不抵消方向/热度落差。
520606+35,中南财经政法大学,520606,35,公共管理类,公共管理类,公共管理类,红色高危,红色,经财金融；法学公安,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B+，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
510303+06,中原工学院,510303,06,纺织工程,纺织类,纺织类,红色高危,红色,化工轻纺；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：C，有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
510303+07,中原工学院,510303,07,非织造材料与工程,纺织类,纺织类,红色高危,红色,化工轻纺；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：C，有本专业相关硕士点；但硬实力不抵消方向/热度落差。
510303+08,中原工学院,510303,08,土木类,土木类,土木类,红色高危,红色,化工轻纺；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
310204+08,中国人民大学,310204,08,社会学类,社会学类,社会学类,红色高危,红色,经财金融,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点，专业水平：国一/双一流；但硬实力不抵消方向/热度落差。
310204+22,中国人民大学,310204,22,公共管理类,公共管理类,公共管理类,红色高危,红色,经财金融,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A+，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
311006+13,中国农业大学,311006,13,农业工程类,农业工程类,农业工程类,红色高危,红色,水利农业工程；电子信息集成电路；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：A+，有本专业相关博士点，专业水平：国一/国特/双一流；但硬实力不抵消方向/热度落差。
311006+17,中国农业大学,311006,17,水利类,水利类,水利类,红色高危,红色,水利农业工程；电子信息集成电路；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：B+，有本专业相关博士点，专业水平：省一/国特/双一流；但硬实力不抵消方向/热度落差。
311006+20,中国农业大学,311006,20,农业智能装备工程,农业工程类,农业工程类,红色高危,红色,水利农业工程；电子信息集成电路；计算机软件,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：学科评估：四轮：A+，有本专业相关博士点；但硬实力不抵消方向/热度落差。
316903+18,中国劳动关系学院,316903,18,安全工程,安全科学与工程类,安全科学与工程类,红色高危,红色,计算机软件；数学统计天文；环境安全生态,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：专业水平：国一；但硬实力不抵消方向/热度落差。
316903+19,中国劳动关系学院,316903,19,应急技术与管理,安全科学与工程类,安全科学与工程类,红色高危,红色,计算机软件；数学统计天文；环境安全生态,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
