key,school,group,code,major,token,sheet,row,score
m_710413_27,西安交通大学,西安交通大学13,27,"工业设计(创新港校区)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",工业设计,985,31,128
m_710410_23,西安交通大学,西安交通大学10,23,"电气工程及其自动化(创新港校区)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",电气工程及其自动化,985,32,128
m_710412_26,西安交通大学,西安交通大学12,26,"碳中和科学与工程(海南校区)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",碳中和科学与工程,985,33,128
m_710403_06,西安交通大学,西安交通大学03,06,"英语(语言数据与智能应用)(海南校区)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",英语,985,34,128
m_430108_09,哈尔滨工业大学,哈尔滨工业大学08,09,"应用物理学(该专业是与俄罗斯圣彼得堡国立大学合作。学生入学后不得转专业,“4+0”培养,中英文授课)(哈尔滨市)(中外合作办学)",应用物理学,985,35,128
m_430105_06,哈尔滨工业大学,哈尔滨工业大学05,06,"数学与应用数学(该专业是与俄罗斯圣彼得堡国立大学合作。学生入学后不得转专业,“4+0”培养,中英文授课)(哈尔滨市)(中外合作办学)",数学与应用数学,985,35,128
m_430107_08,哈尔滨工业大学,哈尔滨工业大学07,08,"化学(该专业是与俄罗斯圣彼得堡国立大学合作。学生入学后不得转专业,“4+0”培养,中英文授课)(哈尔滨市)(中外合作办学)",化学,985,35,128
m_430104_05,哈尔滨工业大学,哈尔滨工业大学04,05,"大数据管理与应用(该专业是与法国里昂商学院合作。学生入学后不得转专业,“4+0”培养,中英文授课)(哈尔滨市)(中外合作办学)",大数据管理与应用,985,36,128
m_430103_04,哈尔滨工业大学,哈尔滨工业大学03,04,"智慧建筑与建造(该专业与意大利都灵理工大学合作。学生入学后不得转专业,“4+0”培养,中英文授课)(哈尔滨市)(中外合作办学)",智慧建筑与建造,985,37,128
m_430106_07,哈尔滨工业大学,哈尔滨工业大学06,07,"生物技术(哈尔滨市)(该专业是与俄罗斯圣彼得堡国立大学合作。学生入学后不得转专业,“4+0”培养,中英文授课)(中外合作办学)",生物技术,985,41,128
m_413103_10,大连理工大学,大连理工大学03,10,"计算机类(软件工程、数字媒体技术、物联网工程)(与日本立命馆大学合作,零起点学习日语,部分课程采用英语、日语授课)(开发区校区)(中外合作办学)",软件工程,985,42,103
m_530208_30,中南大学,中南大学08,30,材料科学与工程(中南大学和蒙纳士大学中外合作办学项目)(中外合作办学),材料科学与工程,985,46,128
m_530204_12,中南大学,中南大学04,12,"土木工程(中南大学邓迪国际学院)(以下专业课程采用全英文授课,非英语语种考生慎重报考)(中外合作办学)",土木工程,985,46,128
m_530209_32,中南大学,中南大学09,32,"自动化(中南大学和蒙纳士大学中外合作办学项目)(""2+2""培养,满足要求获得中南大学本科学历证、学士学位证,蒙纳士大学学士学位证)(具体培养模式、学费等要求,须查阅院校招生官网并详询院校)(中外合作办学)",自动化,985,47,128
m_530204_09,中南大学,中南大学04,09,"计算机科学与技术(中南大学邓迪国际学院)(以下专业课程采用全英文授课,非英语语种考生慎重报考)(中外合作办学)",计算机科学与技术,985,48,128
m_530204_12,中南大学,中南大学04,12,"土木工程(中南大学邓迪国际学院)(以下专业课程采用全英文授课,非英语语种考生慎重报考)(中外合作办学)",土木工程,985,48,128
m_530204_08,中南大学,中南大学04,08,"数学与应用数学(中南大学邓迪国际学院)(以下专业课程采用全英文授课,非英语语种考生慎重报考)(中外合作办学)",数学与应用数学,985,48,128
m_530204_10,中南大学,中南大学04,10,"机械设计制造及其自动化(中南大学邓迪国际学院)(以下专业课程采用全英文授课,非英语语种考生慎重报考)(中外合作办学)",机械设计制造及其自动化,985,48,128
m_530204_11,中南大学,中南大学04,11,"交通设备与控制工程(中南大学邓迪国际学院)(以下专业课程采用全英文授课,非英语语种考生慎重报考)(中外合作办学)",交通设备与控制工程,985,48,128
m_110114_55,南京大学,南京大学14,55,大气科学(以下专业(类)在鼓楼校区和苏州校区学习)(中外合作办学),大气科学,985,51,128
m_620105_09,重庆大学,重庆大学05,09,"机械设计制造及其自动化(科学城校区虎溪校园)(“4+1”培养模式(即国内4年+国外1年),国内学习阶段学费标准为75000元/年,国外学习阶段按美国辛辛那提大学标准缴纳学费)(中外合作办学)",机械设计制造及其自动化,985,52,128
m_620105_08,重庆大学,重庆大学05,08,"电气工程及其自动化(科学城校区虎溪校园)(“4+1”培养模式(即国内4年+国外1年),国内学习阶段学费标准为75000元/年,国外学习阶段按美国辛辛那提大学标准缴纳学费)(中外合作办学)",电气工程及其自动化,985,53,128
m_620109_13,重庆大学,重庆大学09,13,"物理学(与俄罗斯新西伯利亚国立大学合作办学)(科学城校区虎溪校园)(“3+1”培养模式(即国内3年+国外1年),国内学习阶段学费标准约为53000元/年,国外学习阶段按俄罗斯新西伯利亚国立大学标准缴纳学费)(中外合作办学)",物理学,985,54,128
m_620108_12,重庆大学,重庆大学08,12,"土木工程(沙坪坝校区A校园)(“2.5+1.5”培养模式(即国内2.5年+国外1.5年),国内学习阶段学费标准约为100000元/年,国外学习阶段按新加坡理工大学标准缴纳学费)(中外合作办学)",土木工程,985,55,128
m_720120_72,兰州大学,兰州大学20,72,"生物制药(非英语语种考生慎重报考,入学后不得转专业)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",生物制药,985,59,128
m_710207_35,西北工业大学,西北工业大学07,35,人工智能(长安校区)(中外合作办学),人工智能,985,60,128
m_710207_36,西北工业大学,西北工业大学07,36,智能交互设计(长安校区)(中外合作办学),智能交互设计,985,60,128
m_710204_08,西北工业大学,西北工业大学04,08,材料科学与工程(长安校区)(中外合作办学),材料科学与工程,985,61,128
m_710204_09,西北工业大学,西北工业大学04,09,高分子材料与工程(长安校区)(中外合作办学),高分子材料与工程,985,61,128
m_710206_31,西北工业大学,西北工业大学06,31,飞行器设计与工程(以下专业在长安校区学习)(中外合作办学),飞行器设计与工程,985,62,128
m_710206_32,西北工业大学,西北工业大学06,32,航空航天工程(以下专业在长安校区学习)(中外合作办学),航空航天工程,985,62,128
m_710206_33,西北工业大学,西北工业大学06,33,探测制导与控制技术(以下专业在长安校区学习)(中外合作办学),探测制导与控制技术,985,62,128
m_710206_34,西北工业大学,西北工业大学06,34,电子科学与技术(以下专业在长安校区学习)(中外合作办学),电子科学与技术,985,62,128
m_262115_32,中国海洋大学,中国海洋大学15,32,海洋科学(崂山校区)(非英语语种考生慎重报考)(中外合作办学),海洋科学,985,63,128
m_262103_03,中国海洋大学,中国海洋大学03,03,法学(崂山校区)(非英语语种考生慎重报考)(中外合作办学),法学,985,64,128
m_262103_03,中国海洋大学,中国海洋大学03,03,法学(崂山校区)(非英语语种考生慎重报考)(中外合作办学),法学,985,65,128
m_262111_21,中国海洋大学,中国海洋大学11,21,计算机科学与技术(西海岸校区)(非英语语种考生慎重报考)(中外合作办学),计算机科学与技术,985,66,128
m_262112_22,中国海洋大学,中国海洋大学12,22,物理学(崂山校区)(非英语语种考生慎重报考)(中外合作办学),物理学,985,67,128
m_311004_09,中国农业大学,中国农业大学04,09,"国际经济与贸易(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业国内学习期间学费每年10万元至12.98万元,国外学习期间按留学生标准收费,详见院校招生章程)(中外合作办学)",国际经济与贸易,985,69,128
m_311003_08,中国农业大学,中国农业大学03,08,"传播学(以下专业国内学习期间学费每年10万元至12.98万元,国外学习期间按留学生标准收费,详见院校招生章程)(中外合作办学)",传播学,985,69,128
m_311002_07,中国农业大学,中国农业大学02,07,"农林经济管理(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业国内学习期间学费每年8.8万元至9.5万元,国外学习期间按留学生标准收费,详见院校招生章程)(中外合作办学)",农林经济管理,985,70,128
m_311008_33,中国农业大学,中国农业大学08,33,"计算机科学与技术(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业国内学习期间学费每年11万元,国外学习期间按留学生标准收费,详见院校招生章程)(中外合作办学)",计算机科学与技术,985,71,128
m_311008_32,中国农业大学,中国农业大学08,32,"人工智能(以下专业国内学习期间学费每年11万元,国外学习期间按留学生标准收费,详见院校招生章程)(中外合作办学)",人工智能,985,71,128
m_312904_19,中央民族大学,中央民族大学04,19,环境科学(海淀校区)(中外合作办学),环境科学,985,72,128
m_312906_28,中央民族大学,中央民族大学06,28,数据科学与大数据技术(在海南省陵水黎族自治县黎安国际教育创新试验区学习)(中外合作办学),数据科学与大数据技术,985,77,128
m_714107_20,西北农林科技大学,西北农林科技大学07,20,"植物保护(报考该专业组有色觉要求,具体请查阅院校招生章程)(中外合作办学)",植物保护,985,80,128
m_714107_20,西北农林科技大学,西北农林科技大学07,20,"植物保护(报考该专业组有色觉要求,具体请查阅院校招生章程)(中外合作办学)",植物保护,985,81,128
m_714107_21,西北农林科技大学,西北农林科技大学07,21,"园艺(报考该专业组有色觉要求,具体请查阅院校招生章程)(中外合作办学)",园艺,985,81,128
m_714105_13,西北农林科技大学,西北农林科技大学05,13,农林经济管理(中外合作办学),农林经济管理,985,81,128
m_410106_32,东北大学,东北大学06,32,材料科学与工程(校本部)(建议外语语种为英语或法语的考生报考)(中外合作办学),材料科学与工程专业,985,82,118
m_332205_21,东北大学秦皇岛分校,东北大学秦皇岛分校05,21,"计算机科学与技术(以下专业须赴国外学习一年,具体出国培养模式等要求,须查阅院校招生章程并详询院校)(中外合作办学)",计算机科学与技术,985,84,128
m_332205_22,东北大学秦皇岛分校,东北大学秦皇岛分校05,22,"通信工程(以下专业须赴国外学习一年,具体出国培养模式等要求,须查阅院校招生章程并详询院校)(中外合作办学)",通信工程,985,84,128
m_332205_23,东北大学秦皇岛分校,东北大学秦皇岛分校05,23,"应用统计学(以下专业须赴国外学习一年,具体出国培养模式等要求,须查阅院校招生章程并详询院校)(中外合作办学)",应用统计学,985,84,128
m_332204_20,东北大学秦皇岛分校,东北大学秦皇岛分校04,20,"数学与应用数学(以下专业须赴国外学习一年,具体出国培养模式等要求,须查阅院校招生章程并详询院校)(中外合作办学)",数学与应用数学,985,85,128
m_420116_46,吉林大学,吉林大学16,46,"物理学(前卫南区)(第4年在俄罗斯托姆斯克理工大学学习,学费外方收取)(中外合作办学)",物理学,985,86,128
m_420115_45,吉林大学,吉林大学15,45,"数学与应用数学(前卫南区)(第4年在加拿大阿尔伯塔大学学习,学费外方收取)(中外合作办学)",数学与应用数学,985,87,128
m_310703_04,北京理工大学,北京理工大学03,04,会计学(中外合作办学),会计学,985,88,128
m_310706_18,北京理工大学,北京理工大学06,18,"车辆工程(以下专业学费待定,详询院校。在浙江省嘉兴市秀洲区油车港镇东方北路1940号学习)(中外合作办学)",车辆工程,985,89,128
m_310705_16,北京理工大学,北京理工大学05,16,能源与动力工程(以下专业在广东省珠海市唐家湾金凤路6号学习)(中外合作办学),能源与动力工程,985,89,128
m_310705_15,北京理工大学,北京理工大学05,15,航空航天工程(以下专业在广东省珠海市唐家湾金凤路6号学习)(中外合作办学),航空航天工程,985,89,128
m_310706_17,北京理工大学,北京理工大学06,17,"机械工程(以下专业学费待定,详询院校。在浙江省嘉兴市秀洲区油车港镇东方北路1940号学习)(中外合作办学)",机械工程,985,90,128
m_310706_18,北京理工大学,北京理工大学06,18,"车辆工程(以下专业学费待定,详询院校。在浙江省嘉兴市秀洲区油车港镇东方北路1940号学习)(中外合作办学)",车辆工程,985,90,128
m_320201_01,天津大学,天津大学01,01,"供应链管理(办学地点位于海南,与英国雷丁大学亨利商学院合作办学)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",今年首招【供应链管理】-其余两个专业没批下来,985,92,118
m_320205_13,天津大学,天津大学05,13,"计算机科学与技术(内地与港澳台合作办学)(办学地点位于深圳,与香港理工大学合作办学)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",首批招生计算机科学与技术,985,93,118
m_110215_52,东南大学,东南大学15,52,"智能制造工程(以下专业第一、二学年由东南大学一蒙纳士大学国际学院(苏州)管理,第三、四学年赴澳大利亚蒙纳士大学学习,期间学费按照澳方标准收取)(中外合作办学)",智能制造工程,985,98,128
m_110215_53,东南大学,东南大学15,53,"新能源科学与工程(以下专业第一、二学年由东南大学一蒙纳士大学国际学院(苏州)管理,第三、四学年赴澳大利亚蒙纳士大学学习,期间学费按照澳方标准收取)(中外合作办学)",新能源科学与工程,985,98,128
m_110215_51,东南大学,东南大学15,51,"机器人工程(以下专业第一、二学年由东南大学一蒙纳士大学国际学院(苏州)管理,第三、四学年赴澳大利亚蒙纳士大学学习,期间学费按照澳方标准收取)(中外合作办学)",机器人工程,985,98,128
m_311305_12,北京邮电大学,北京邮电大学05,12,"电信工程及管理(以下专业部分课程采用英语授课,第一学年在沙河校区学习,第二、三、四学年将根据学校规划安排在沙河校区或西土城路校区学习)(中外合作办学)",电信工程及管理,211,5,128
m_311305_13,北京邮电大学,北京邮电大学05,13,"物联网工程(以下专业部分课程采用英语授课,第一学年在沙河校区学习,第二、三、四学年将根据学校规划安排在沙河校区或西土城路校区学习)(中外合作办学)",物联网工程,211,6,128
m_311306_15,北京邮电大学,北京邮电大学06,15,"数字媒体技术(以下专业部分课程采用英语授课,在海南省陵水黎族自治县黎安国际教育创新试验区学习)(中外合作办学)",数字媒体技术,211,9,128
m_311306_14,北京邮电大学,北京邮电大学06,14,"信息与计算科学(以下专业部分课程采用英语授课,在海南省陵水黎族自治县黎安国际教育创新试验区学习)(中外合作办学)",信息与计算科学,211,10,128
m_311306_16,北京邮电大学,北京邮电大学06,16,"智能医学工程(以下专业部分课程采用英语授课,在海南省陵水黎族自治县黎安国际教育创新试验区学习)(中外合作办学)",智能医学工程,211,11,128
m_710506_20,西安电子科技大学,西安电子科技大学06,20,"电子信息工程(雁塔校区)(学生每学年结束需达到相应的法语水平测试标准方可升入下一学年,最终达到法语水平测试B2标准才能获得西安电子科技大学和法国蔚蓝海岸大学的双本科学位)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",电子信息工程,211,13,128
m_710504_15,西安电子科技大学,西安电子科技大学04,15,"通信工程(雁塔校区)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",通信工程,211,14,128
m_710504_16,西安电子科技大学,西安电子科技大学04,16,"数据科学与大数据技术(长安校区)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",数据科学与大数据技术,211,15,128
m_312007_28,中央财经大学,中央财经大学07,28,"国际经济与贸易(国际贸易、金融风险管理)(以下专业学习地点待定,详询院校)(中外合作办学)",国际经济与贸易专业,211,16,118
m_311910_32,对外经济贸易大学,对外经济贸易大学10,32,"数据科学与大数据技术(以下专业在对外经济贸易大学学习三年,学费按99000元/生/学年收取,在美学费按照对方国际学生标准收取)(中外合作办学)",数据科学与大数据技术,211,17,128
m_311908_28,对外经济贸易大学,对外经济贸易大学08,28,"精算学(以下专业具体培养模式等要求,须查阅院校招生章程并详询院校)(中外合作办学)",精算学,211,18,128
m_311904_15,对外经济贸易大学,对外经济贸易大学04,15,"保险学(以下专业具体培养模式等要求,须查阅院校招生章程并详询院校)(中外合作办学)",保险学,211,19,128
m_110309_A1,南京航空航天大学,南京航空航天大学09,A1,"人工智能(以下专业第一二:三学年在南京市将军路校区学习,第四学年学习地点根据培养计划具体安排)(中外合作办学)",人工智能,211,20,128
m_110310_A2,南京航空航天大学,南京航空航天大学10,A2,"工业工程(以下专业第一二:三学年在南京市将军路校区学习,第四学年学习地点根据培养计划具体安排)(中外合作办学)",工业工程,211,21,128
m_110311_A4,南京航空航天大学,南京航空航天大学11,A4,"应用物理学(第一阶段学习地点在常州市天目湖校区,第二阶段学习地点根据培养计划具体安排,详询院校)(中外合作办学)",应用物理学-纳米工程,211,22,118
m_110308_A0,南京航空航天大学,南京航空航天大学08,A0,"自动化(航空电子与控制)(以下专业第一阶段学习地点在常州市天目湖校区,第二阶段学习地点根据培养计划具体安排,详询院校)(中外合作办学)",自动化,211,23,128
m_110311_A3,南京航空航天大学,南京航空航天大学11,A3,"飞行器控制与信息工程(第一阶段学习地点在南京市将军路校区,第二阶段学习地点根据培养计划具体安排,详询院校)(中外合作办学)",飞行器控制与信息工程,211,24,128
m_110405_49,南京理工大学,南京理工大学05,49,"机械工程(以下专业与法国梅斯国立工程师学院合作办学,四年均在江阴校区学习)(中外合作办学)",机械工程,211,25,128
m_110405_50,南京理工大学,南京理工大学05,50,"材料科学与工程(以下专业与法国梅斯国立工程师学院合作办学,四年均在江阴校区学习)(中外合作办学)",材料科学与工程,211,26,128
m_110406_51,南京理工大学,南京理工大学06,51,"工业设计(以下专业第一学年在江阴校区学习,第二、三学年在南京校区学习,第四学年赴英国考文垂大学学习,赴英期间学费按照英方标准收取)(中外合作办学)",工业设计,211,27,128
m_310510_15,北京交通大学,北京交通大学10,15,"纳米材料与技术(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业具体出国培养模式等要求,须查阅院校招生章程并详询院校,在北京校区学习)(中外合作办学)",纳米材料与技术,211,29,128
m_310511_16,北京交通大学,北京交通大学11,16,"机械电子工程(以下专业具体出国培养模式等要求,须查阅院校招生章程并详询院校,在北京校区学习)(中外合作办学)",机械电子工程,211,30,128
m_260303_03,北京交通大学(威海校区),北京交通大学(威海校区)03,03,通信工程(专业课全英文授课)(中外合作办学),通信工程,211,31,128
m_260303_04,北京交通大学(威海校区),北京交通大学(威海校区)03,04,计算机科学与技术(专业课全英文授课)(中外合作办学),计算机科学与技术,211,32,128
m_260303_05,北京交通大学(威海校区),北京交通大学(威海校区)03,05,"环境工程(专业课全英文授课)(报考该专业有色觉要求,具体请查阅院校招生章程)(中外合作办学)",环境工程,211,33,128
m_260302_02,北京交通大学(威海校区),北京交通大学(威海校区)02,02,会计学(专业课全英文授课)(中外合作办学),会计学,211,34,128
m_260301_01,北京交通大学(威海校区),北京交通大学(威海校区)01,01,工商管理(专业课全英文授课)(中外合作办学),工商管理,211,35,128
m_430222_40,哈尔滨工程大学,哈尔滨工程大学22,40,"土木工程(校本部)(与英国阿伯丁大学合作,采用“3+1”模式,中英文授课,入学后不得转专业)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",土木工程,211,37,128
m_430221_39,哈尔滨工程大学,哈尔滨工程大学21,39,"电子信息工程(与英国阿伯丁大学合作)(以下专业采用“3+1”模式,中英文授课,在校本部学习,入学后不得转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校。)(中外合作办学)",电子信息工程,211,38,128
m_430221_38,哈尔滨工程大学,哈尔滨工程大学21,38,"材料物理(与英国斯旺西大学合作)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业采用“3+1”模式,中英文授课,在校本部学习,入学后不得转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校。)(中外合作办学)",材料物理,211,39,128
m_430221_37,哈尔滨工程大学,哈尔滨工程大学21,37,"机械设计制造及其自动化(与英国斯旺西大学合作)(以下专业采用“3+1”模式,中英文授课,在校本部学习,入学后不得转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校。)(中外合作办学)",机械设计制造及其自动化,211,40,128
m_430220_36,哈尔滨工程大学,哈尔滨工程大学20,36,"工业设计(校本部)(与英国伦敦城市大学合作,""4+0""模式,中英文授课,入学后不得转专业。学费标准以实际批复为准)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(报考该专业组有色觉要求,具体请查阅院校招生章程)(中外合作办学)",工业设计,211,41,128
m_312305_11,中国传媒大学,中国传媒大学05,11,传播学(中外合作办学),传播学,211,42,128
m_312305_10,中国传媒大学,中国传媒大学05,10,广告学(中外合作办学),广告学,211,43,128
m_312310_18,中国传媒大学,中国传媒大学10,18,数字经济(中外合作办学),数字经济,211,44,128
m_312314_28,中国传媒大学,中国传媒大学14,28,"数字媒体技术(报考以下专业须查阅院校招生章程,在海南省陵水黎族自治县黎安国际教育创新试验区学习)(中外合作办学)",数字媒体技术,211,45,128
m_312314_29,中国传媒大学,中国传媒大学14,29,"智能科学与技术(报考以下专业须查阅院校招生章程,在海南省陵水黎族自治县黎安国际教育创新试验区学习)(中外合作办学)",智能科学与技术,211,46,128
m_311605_27,北京外国语大学,北京外国语大学05,27,外交学(中外合作办学),外交学,211,48,128
m_311609_53,北京外国语大学,北京外国语大学09,53,大数据管理与应用(中外合作办学),大数据管理与应用,211,49,128
m_520702_06,武汉理工大学,武汉理工大学02,06,"金融学(与澳大利亚纽卡斯尔大学合办,部分课程采用英语授课、考核,出国培养模式详询院校)(以下专业在军山校区学习)(中外合作办学)",金融学,211,50,128
m_520711_43,武汉理工大学,武汉理工大学11,43,"车辆工程(与英国伦敦布鲁内尔大学合办,4+0培养模式,部分课程采用英语授课、考核)(军山校区)(中外合作办学)",车辆工程,211,51,128
m_520712_44,武汉理工大学,武汉理工大学12,44,"车辆工程(与英国威尔士三一圣大卫大学合办,4+0培养模式,部分课程采用英语授课、考核)(军山校区)(中外合作办学)",车辆工程,211,52,126
m_520714_46,武汉理工大学,武汉理工大学14,46,"生物科学类(生物技术、制药工程)(与法国艾克斯马赛大学合办,4+0培养模式,部分课程采用法语授课、考核)(以下专业有色觉要求,在校本部学习)(中外合作办学)",生物科学类,211,53,128
m_520713_45,武汉理工大学,武汉理工大学13,45,"材料科学与工程(与澳大利亚蒙纳士大学合办,2+2培养模式,部分课程采用英语授课、考核)(军山校区)(中外合作办学)",材料科学与工程,211,54,128
m_520711_43,武汉理工大学,武汉理工大学11,43,"车辆工程(与英国伦敦布鲁内尔大学合办,4+0培养模式,部分课程采用英语授课、考核)(军山校区)(中外合作办学)",车辆工程,211,55,128
m_520715_47,武汉理工大学,武汉理工大学15,47,"数字经济(与澳大利亚伍伦贡大学合办,4+0培养模式,部分课程采用英语授课、考核)(军山校区)(中外合作办学)",数字经济,211,56,128
m_610211_43,西南交通大学,西南交通大学11,43,"土木工程(以下专业在东部国际校区学习,以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",土木工程,211,57,128
m_610211_38,西南交通大学,西南交通大学11,38,"材料科学与工程(以下专业在东部国际校区学习,以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",材料科学与工程,211,58,128
m_610211_36,西南交通大学,西南交通大学11,36,"机械设计制造及其自动化(以下专业在东部国际校区学习,以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",机械设计制造及其自动化,211,59,128
m_610211_42,西南交通大学,西南交通大学11,42,"计算机科学与技术(以下专业在东部国际校区学习,以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",计算机科学与技术,211,60,128
